institution_id,latent_profile,true_profile,true_boundary,oracle_reachable,governance_type
SYN_S5_GOVERNANCE_CONFOUNDED_R000_022,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_032,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_073,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_018,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_031,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_080,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_010,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_023,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_075,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_058,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_014,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_057,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_051,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_045,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_038,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_039,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_056,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_009,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_012,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_015,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_078,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_062,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_060,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_040,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_042,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_017,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_063,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_066,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_024,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_069,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_041,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_004,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_048,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_033,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_026,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_035,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_016,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_036,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_030,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_006,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_068,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_059,,,False,False,PUBLIC
