institution_id,latent_profile,true_profile,true_boundary,oracle_reachable
SYN_S1_CONFIG_TWO_PROFILE_R000_054,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_015,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_038,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_012,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_065,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_060,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_001,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_036,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_020,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_076,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_017,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_056,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_037,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_033,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_003,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_068,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_067,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_075,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_034,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_052,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_048,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_062,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_024,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_050,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_053,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_007,A,1,False,False
