institution_id,latent_profile,true_profile,true_boundary,oracle_reachable,governance_type
SYN_S5_GOVERNANCE_CONFOUNDED_R002_066,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_037,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_022,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_080,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_071,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_064,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_041,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_019,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_076,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_079,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_073,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_005,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_029,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_013,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_045,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_047,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_043,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_054,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_018,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_046,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_039,,,False,False,PRIVATE
