institution_id,family,n_oob_predictions,profile_1_probability,profile_2_probability
INST_048,R1_PCA85_WARD,1,1.0,0.0
INST_049,R1_PCA85_WARD,1,1.0,0.0
INST_050,R1_PCA85_WARD,0,,
INST_051,R1_PCA85_WARD,0,,
INST_052,R1_PCA85_WARD,0,,
INST_053,R1_PCA85_WARD,0,,
INST_054,R1_PCA85_WARD,0,,
INST_055,R1_PCA85_WARD,0,,
INST_056,R1_PCA85_WARD,1,1.0,0.0
INST_057,R1_PCA85_WARD,1,1.0,0.0
INST_058,R1_PCA85_WARD,0,,
INST_059,R1_PCA85_WARD,0,,
INST_060,R1_PCA85_WARD,0,,
INST_061,R1_PCA85_WARD,0,,
INST_062,R1_PCA85_WARD,2,1.0,0.0
INST_063,R1_PCA85_WARD,1,1.0,0.0
INST_064,R1_PCA85_WARD,0,,
INST_065,R1_PCA85_WARD,1,0.0,1.0
INST_066,R1_PCA85_WARD,0,,
INST_067,R1_PCA85_WARD,0,,
INST_068,R1_PCA85_WARD,0,,
INST_069,R1_PCA85_WARD,0,,
INST_070,R1_PCA85_WARD,1,1.0,0.0
INST_071,R1_PCA85_WARD,1,0.0,1.0
INST_072,R1_PCA85_WARD,0,,
INST_073,R1_PCA85_WARD,0,,
INST_074,R1_PCA85_WARD,0,,
INST_075,R1_PCA85_WARD,1,1.0,0.0
INST_076,R1_PCA85_WARD,2,1.0,0.0
INST_077,R1_PCA85_WARD,0,,
INST_078,R1_PCA85_WARD,0,,
INST_079,R1_PCA85_WARD,1,1.0,0.0
INST_080,R1_PCA85_WARD,0,,
INST_081,R1_PCA85_WARD,0,,
INST_001,R0_KMEANS,0,,
INST_002,R0_KMEANS,1,1.0,0.0
INST_003,R0_KMEANS,0,,
INST_004,R0_KMEANS,0,,
INST_005,R0_KMEANS,0,,
INST_006,R0_KMEANS,0,,
INST_007,R0_KMEANS,0,,
INST_008,R0_KMEANS,1,1.0,0.0
INST_009,R0_KMEANS,0,,
INST_010,R0_KMEANS,0,,
INST_011,R0_KMEANS,0,,
INST_012,R0_KMEANS,0,,
INST_013,R0_KMEANS,0,,
INST_014,R0_KMEANS,0,,
INST_015,R0_KMEANS,0,,
INST_016,R0_KMEANS,1,1.0,0.0
INST_017,R0_KMEANS,0,,
INST_018,R0_KMEANS,0,,
INST_019,R0_KMEANS,1,0.0,1.0
INST_020,R0_KMEANS,0,,
INST_021,R0_KMEANS,0,,
INST_022,R0_KMEANS,1,0.0,1.0
INST_023,R0_KMEANS,0,,
INST_024,R0_KMEANS,0,,
INST_025,R0_KMEANS,0,,
INST_026,R0_KMEANS,1,1.0,0.0
INST_027,R0_KMEANS,1,0.0,1.0
INST_028,R0_KMEANS,0,,
INST_029,R0_KMEANS,0,,
INST_030,R0_KMEANS,0,,
INST_031,R0_KMEANS,0,,
INST_032,R0_KMEANS,0,,
INST_033,R0_KMEANS,0,,
INST_034,R0_KMEANS,0,,
INST_035,R0_KMEANS,0,,
INST_036,R0_KMEANS,0,,
INST_037,R0_KMEANS,1,0.0,1.0
INST_038,R0_KMEANS,0,,
INST_039,R0_KMEANS,1,0.0,1.0
INST_040,R0_KMEANS,1,1.0,0.0
INST_041,R0_KMEANS,1,0.0,1.0
INST_042,R0_KMEANS,1,1.0,0.0
INST_043,R0_KMEANS,0,,
INST_044,R0_KMEANS,0,,
INST_045,R0_KMEANS,1,1.0,0.0
INST_046,R0_KMEANS,1,1.0,0.0
INST_047,R0_KMEANS,1,1.0,0.0
INST_048,R0_KMEANS,1,1.0,0.0
INST_049,R0_KMEANS,0,,
INST_050,R0_KMEANS,0,,
INST_051,R0_KMEANS,1,0.0,1.0
INST_052,R0_KMEANS,0,,
INST_053,R0_KMEANS,0,,
INST_054,R0_KMEANS,1,0.0,1.0
INST_055,R0_KMEANS,1,1.0,0.0
INST_056,R0_KMEANS,0,,
INST_057,R0_KMEANS,0,,
INST_058,R0_KMEANS,2,1.0,0.0
INST_059,R0_KMEANS,0,,
INST_060,R0_KMEANS,0,,
INST_061,R0_KMEANS,0,,
INST_062,R0_KMEANS,1,1.0,0.0
INST_063,R0_KMEANS,0,,
INST_064,R0_KMEANS,0,,
INST_065,R0_KMEANS,0,,
INST_066,R0_KMEANS,1,1.0,0.0
INST_067,R0_KMEANS,0,,
INST_068,R0_KMEANS,0,,
INST_069,R0_KMEANS,1,1.0,0.0
INST_070,R0_KMEANS,1,1.0,0.0
INST_071,R0_KMEANS,2,0.0,1.0
INST_072,R0_KMEANS,0,,
INST_073,R0_KMEANS,0,,
INST_074,R0_KMEANS,0,,
INST_075,R0_KMEANS,1,1.0,0.0
INST_076,R0_KMEANS,0,,
INST_077,R0_KMEANS,1,1.0,0.0
INST_078,R0_KMEANS,1,1.0,0.0
INST_079,R0_KMEANS,1,1.0,0.0
INST_080,R0_KMEANS,0,,
INST_081,R0_KMEANS,1,1.0,0.0
INST_001,R1_PCA85_KMEANS,0,,
INST_002,R1_PCA85_KMEANS,1,1.0,0.0
INST_003,R1_PCA85_KMEANS,1,0.0,1.0
INST_004,R1_PCA85_KMEANS,0,,
INST_005,R1_PCA85_KMEANS,0,,
INST_006,R1_PCA85_KMEANS,0,,
INST_007,R1_PCA85_KMEANS,2,0.5,0.5
INST_008,R1_PCA85_KMEANS,0,,
INST_009,R1_PCA85_KMEANS,1,1.0,0.0
INST_010,R1_PCA85_KMEANS,0,,
INST_011,R1_PCA85_KMEANS,1,1.0,0.0
INST_012,R1_PCA85_KMEANS,0,,
INST_013,R1_PCA85_KMEANS,1,1.0,0.0
INST_014,R1_PCA85_KMEANS,0,,
INST_015,R1_PCA85_KMEANS,0,,
INST_016,R1_PCA85_KMEANS,0,,
INST_017,R1_PCA85_KMEANS,0,,
INST_018,R1_PCA85_KMEANS,0,,
INST_019,R1_PCA85_KMEANS,1,1.0,0.0
INST_020,R1_PCA85_KMEANS,0,,
INST_021,R1_PCA85_KMEANS,0,,
INST_022,R1_PCA85_KMEANS,1,0.0,1.0
INST_023,R1_PCA85_KMEANS,0,,
INST_024,R1_PCA85_KMEANS,1,1.0,0.0
INST_025,R1_PCA85_KMEANS,1,0.0,1.0
INST_026,R1_PCA85_KMEANS,1,1.0,0.0
INST_027,R1_PCA85_KMEANS,1,0.0,1.0
INST_028,R1_PCA85_KMEANS,0,,
INST_029,R1_PCA85_KMEANS,1,1.0,0.0
INST_030,R1_PCA85_KMEANS,0,,
INST_031,R1_PCA85_KMEANS,0,,
INST_032,R1_PCA85_KMEANS,1,1.0,0.0
INST_033,R1_PCA85_KMEANS,0,,
INST_034,R1_PCA85_KMEANS,0,,
INST_035,R1_PCA85_KMEANS,1,1.0,0.0
INST_036,R1_PCA85_KMEANS,0,,
INST_037,R1_PCA85_KMEANS,0,,
INST_038,R1_PCA85_KMEANS,0,,
INST_039,R1_PCA85_KMEANS,0,,
INST_040,R1_PCA85_KMEANS,0,,
INST_041,R1_PCA85_KMEANS,0,,
INST_042,R1_PCA85_KMEANS,0,,
INST_043,R1_PCA85_KMEANS,1,1.0,0.0
INST_044,R1_PCA85_KMEANS,0,,
INST_045,R1_PCA85_KMEANS,2,1.0,0.0
INST_046,R1_PCA85_KMEANS,0,,
INST_047,R1_PCA85_KMEANS,1,1.0,0.0
INST_048,R1_PCA85_KMEANS,0,,
INST_049,R1_PCA85_KMEANS,1,1.0,0.0
INST_050,R1_PCA85_KMEANS,2,1.0,0.0
INST_051,R1_PCA85_KMEANS,1,0.0,1.0
INST_052,R1_PCA85_KMEANS,0,,
INST_053,R1_PCA85_KMEANS,1,1.0,0.0
INST_054,R1_PCA85_KMEANS,0,,
INST_055,R1_PCA85_KMEANS,1,1.0,0.0
INST_056,R1_PCA85_KMEANS,0,,
INST_057,R1_PCA85_KMEANS,0,,
INST_058,R1_PCA85_KMEANS,0,,
INST_059,R1_PCA85_KMEANS,0,,
INST_060,R1_PCA85_KMEANS,0,,
INST_061,R1_PCA85_KMEANS,0,,
INST_062,R1_PCA85_KMEANS,0,,
INST_063,R1_PCA85_KMEANS,0,,
INST_064,R1_PCA85_KMEANS,1,1.0,0.0
INST_065,R1_PCA85_KMEANS,0,,
INST_066,R1_PCA85_KMEANS,0,,
INST_067,R1_PCA85_KMEANS,0,,
INST_068,R1_PCA85_KMEANS,0,,
INST_069,R1_PCA85_KMEANS,1,1.0,0.0
INST_070,R1_PCA85_KMEANS,1,1.0,0.0
INST_071,R1_PCA85_KMEANS,0,,
INST_072,R1_PCA85_KMEANS,0,,
INST_073,R1_PCA85_KMEANS,1,1.0,0.0
INST_074,R1_PCA85_KMEANS,0,,
INST_075,R1_PCA85_KMEANS,0,,
INST_076,R1_PCA85_KMEANS,0,,
INST_077,R1_PCA85_KMEANS,0,,
INST_078,R1_PCA85_KMEANS,1,1.0,0.0
INST_079,R1_PCA85_KMEANS,1,1.0,0.0
INST_080,R1_PCA85_KMEANS,0,,
INST_081,R1_PCA85_KMEANS,0,,
